"idproducto","idestado","idpdestacado","nombre","urlamigable","contenido","urlimagen","orden","fecha"
"1","135","39","CARBON ACTIVADO","carbon-activado","Producido a partir de carbón bituminoso, activado mediante temperatura y vapor de agua. Es utilizado como medio filtrante para remover materia orgánica causante de color, mal olor y sabor del agua. Asimismo tiene como principal propiedad la remoción de cloro residual del agua. Carbón activado granular se emplea para la eliminación de compuestos orgánicos disueltos del agua y las aguas residuales también como corrientes industriales y de procesamiento de alimentos.","1-carbon-activado.png","1","2022-07-23 11:19:18"
"2","135","39","HIPOCLORITO DE CALCIO","hipoclorito-de-calcio","El Hipoclorito de Calcio es un poderoso agente desinfectante, fuerte oxidante, germicida, bactericida y blanqueador de aspecto granulado y color blanco. Ampliamente utilizado en la limpieza de piscinas, plantas de agua, pozos de agua, en plantas de procesamiento de alimentos y bebidas, agricultura, entre otros, por su alto contenido de cloro disponible, facilidad de disolución, menor contenido de insolubles y facilidad de manejo.","2-hipoclorito-de-calcio.png","2","2022-07-23 11:19:18"
"3","135","39","SULFATO DE ALUMINA TIPO A","sulfato-de-alumina-tipo-a","Sulfato de Alumina Tipo A, Empleando en el tratamiento de aguas residuales. Es un producto efectivo en la eliminación del fósforo en las plantas de tratamiento de agua residual, tanto para el uso de humano e industrial y clarifica el agua al precipitar los sólidos suspendidos. En el tratamiento de agua potable, permite clarificar el agua potable ya que es un coagulante y por ello sedimenta los sólidos en suspensión, los cuales por su tamaño requerirán un tiempo muy largo para sedimentar.","3-sulfato-de-alumina-tipo-a.jpg","3","2022-07-23 11:19:18"
"4","135","39","ZEOLITA TURBIDEX","zeolita-turbidex","Turbidex es un medio filtrante natural compuesto por mineral de aluminosilicato (zeolita), que proporciona una excelente filtración de sólidos en suspensión. La naturaleza macroporosa de Turbidex permite la filtración a niveles inferiores a 5 micras de tamaño de partícula. Tiene una gran eficacia de filtración, ahorro de agua, velocidad de paso, es un medio filtrante ligero y genera claridad del agua reduciendo la turbidez.","4-zeolita-turbidex.jpg","4","2022-07-23 11:19:18"
"5","135","39","RESINAS DE INTERCAMBIO IÓNICO","resinas-de-intercambio-inico","Contamos con las mejores marcas y calidades de resinas de intercambio iónico, para ablandamiento y desmineralización de agua.<div><ul><li>Resinas catiónicas</li><li>Resinas Aniónicas</li><li>Resina Lecho mixto.&nbsp;</li></ul></div><div>Se comercializa en bolsas de 25 Litros.</div><div>Comercializamos las marcas LEWATIT (ALEMANIA) y AMBERLITE (USA).</div>","5-resinas-de-intercambio-inico.jpg","5","2022-07-23 11:19:18"
"6","135","39","ANTRACITA","antracita","Carbón mineral de muy alta dureza utilizado por muchos años en el tratamiento del agua, en  los procesos de filtración multimedia. Es el primer componente de los filtros multimedia (o lecho profundo). Antracita es un material filtrante de origen mineral, con altos grados de carbono, completamente libre de impurezas. Es insoluble en agua y mecánicamente resistente a abrasión. En comparación con un filtro de arena, este medio filtrante permite un desempeño en el filtro de mayor flujo, menos caída de presión y un mejor y rápido retro lavado.","6-antracita.jpg","6","2022-07-23 11:19:18"
"7","135","39","ARENA DE CUARZO","arena-de-cuarzo","Es uno de los primeros materiales filtrantes utilizados. Se utiliza como medio filtrante en los filtros de grava y arena. Asimismo es el segundo componente de los filtros multimedia (o lecho profundo).","7-arena-de-cuarzo.jpg","7","2022-07-23 11:19:18"
"8","135","39","GRAVA DE CUARZO","grava-de-cuarzo","Para usarse bajo cualquiera de los materiales filtrantes anteriores, como lecho soporte. Asimismo en los filtros de grava y arena de cuarzo, como material de filtración en diferentes granulometrias.  Granulometrías: 1/8”, ¼”, ½”, 1”.","8-grava-de-cuarzo.jpg","8","2022-07-23 11:19:18"
"9","135","39","ABLANDADORES DE AGUA","ablandadores-de-agua","Nuestros sistemas de intercambio iónico permiten eliminar iones de calcio y magnesio, responsables de la dureza del agua, reemplazándolos por iones sodio, realizando operaciones de regeneración en forma manual o automática. Básicamente, el proceso de intercambio se produce sobre la superficie de una resina polimérica, cuando esta última queda saturada, es decir, cuando todos los iones sodio son intercambiados por los iones calcio y magnesio presentes en el agua de alimentación, debe ser regenerada a través del pasaje de una mezcla formada por cloruro de sodio (NaCl) y agua, comúnmente denominada ""salmuera"". Este proceso previene la formación y el depósito de sarro en grifería, cañerías, termo tanques, calderas, electrodomésticos y maquinarias que este en contacto con el agua, protegiéndolos y prolongando su vida útil.","9-ablandadores-de-agua.jpg","9","2022-07-23 11:19:18"
"10","135","39","FILTRO DE CARBÓN ACTIVADO","filtro-de-carbon-activado","Nuestros filtros multimedia permiten remover cloro residual y materia orgánica causantes de desagradables sabores, olores y colores del agua. Están compuestos por varias capas de medios filtrantes de diferentes densidades y tamaño de partículas, acomodados uno sobre el otro.Los Filtros de carbón activado son equipos que contienen carbón activado granular, como medio de filtración para remover componentes naturales y/o industriales del agua.","10-filtro-de-carbn-activado.jpg","10","2022-07-23 11:19:18"
"11","135","39","FILTRO DE MULTIMEDIA","filtro-de-multimedia","Los Filtros multimedia están diseñados para poder filtrar sólidos suspendidos en el agua por medio de varias capas de medios filtrantes de más grueso a más fino. Este diseño hace que las partículas más grandes queden atrapadas en las capas superiores y las más pequeñas en las inferiores. Nuestro filtro de multimedia maximiza la capacidad de atrapar partículas que pueden ser arenilla, óxidos, orgánicos y sedimentos en general desde 10-15 micrones a más. Medios filtrantes (antracita, garnet, grava y arena).","11-filtro-de-multimedia.jpg","11","2022-07-23 11:19:18"
"12","135","39","EQUIPOS ULTRAVIOLETA","equipos-ultravioleta","Los equipos de desinfección ultravioleta, canalizan el agua a través de lámparas que emiten altas dosis de rayos UV para eliminar bacterias, amebas y virus, sin alterar el sabor, olor y color del agua.En la industria se utiliza como un tratamiento de desinfección del agua en puntos de uso con el objetivo de asegurar la calidad bacteriológica del producto final, desactivando efectivamente las bacterias patogénas, esporas, virus y protozoos Contamos con equipos de diferentes capacidades, para uso residencial, comercial e industrial.","12-equipos-ultravioleta.jpg","12","2022-07-23 11:19:18"
"13","135","39","MEMBRANAS DE ÓSMOSIS","membranas-de-smosis","Contamos con membranas de alto rechazo, baja, mediana y alta presión para agua salobre y agua de mar. Membranas de ósmosis de diferentes tamaños y modelos, con envoltura externa de membrana con fibra de vidrio y con TAPE.","13-membranas-de-smosis.jpg","13","2022-07-23 11:19:18"
"14","135","39","Portamembranas Acero Inoxidable","portamembranas-acero-inoxidable","Las portamembranas en marca Hydronix es una serie de carcasas para membranas en aplicaciones de sistemas de ósmosis inversa (RO) comerciales e industriales. Reconocidos por su alta calidad y durabilidad.<div>Estas piezas están construidas para maximizar el rendimiento de los sistemas de tratamiento y purificación.</div><div><ul><li>Durabilidad y calidad asegurada.</li><li>Tapas reforzadas para un sello seguro.</li><li>Trabajo a altas presiones y uso continuo.</li><li>Carcasa para ósmosis inversa con refacciones estándar.</li><li>Su diseño de cuerpo y tapas le ofrece alta confiabilidad en el área de sellado de la tapa.</li></ul></div>","14-portamembranas-acero-inoxidable.jpg","14","2022-07-23 11:19:18"
"15","135","39","Portamembranas Frp","portamembranas-frp","Las portamembranas FRP son compatibles con sistemas de ósmosis inversa comerciales e industriales. Dimensiones: 4? de diámetro x 40?de largo. Fabricadas de fibra de vidrio resistente y recubiertas con pintura de poliuretano de alto brillo lo que las hacen resistentes a los rayos UV.<div><ul><li>Pueden soportar presiones de hasta 300 psi.</li><li>Operación a altas presiones y uso continuo.</li><li>Carcasa para ósmosis inversa con refacciones estándar.</li><li>Su diseño de cuerpo y tapas le ofrece alta confiabilidad en el área de sellado de la tapa.</li></ul></div>","15-portamembranas-frp.jpg","15","2022-07-23 11:19:18"
