nombre,slug,descripcion,fabricante,imagen,badge,badge_color,color_gradient,activo,orden
"Zeolita Turbidex",zeolita-turbidex,"Turbidex es un medio filtrante natural compuesto por mineral de aluminosilicato (zeolita), que proporciona una excelente filtración de sólidos en suspensión. La naturaleza macroporosa de Turbidex permite la filtración a niveles inferiores a 5 micras de tamaño de partícula. Tiene una gran eficacia de filtración, ahorro de agua, velocidad de paso, es un medio filtrante ligero y genera claridad del agua reduciendo la turbidez.",Nacional,assets/img/catalogo/zeolita-turbidex.webp,Destacado,blue,"from-[#1a1a0a] to-[#3a3a1a]",1,78
"Valvulas Manuales Para Filtro",valvulas-manuales-para-filtro,"Las válvulas manuales para filtros son de alta calidad, siendo una válvula de filtro de lavado posterior. Su principal característica o ventaja que es que puede convertirse en un sustituto de las válvulas automáticas para filtros. Para la producción del núcleo se fabrica con cerámico de óxido de aluminio ya que presenta mayor durabilidad y resistencia, en comparación con el metal.Estas válvulas manuales para filtros se utiliza para distintos tipos de aplicaciones y rubros, como la filtración en las piscinas, pre tratamiento de ósmosis inversa, y tratamiento de agua residual.",Nacional,assets/img/catalogo/valvulas-manuales-para-filtro.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,77
"Valvulas Manuales Para Ablandador",valvulas-manuales-para-ablandador,"Las válvulas manuales para ablandador Runxin son de alta calidad, siendo más económicos, convenientes, en comparación con otras válvulas de otras marcas. La carcasa de la válvula está hecha de plástico reforzado ABS con 10% de fibra de vidrio, esto brinda a la carcasa con grandes propiedades. Entre sus principales beneficios se incluye la resistencia al calor, resistencia a alto impacto y de ser retardante a la flama.FUNCIONES:Lavado posterior, servicio, salmuera y velocidad más lenta, rellenado de salmuera, y un enjuague rápido.",Nacional,assets/img/catalogo/valvulas-manuales-para-ablandador.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,76
"Valvulas Automaticas Para Filtro",valvulas-automaticas-para-filtro,"Estas válvulas para filtros cuentan con motores eléctricos los cuales controlan las funciones de regeneración y lavado posterior en los filtros de media. Esta multiválvula puede realizar de manera automática el servicio, lavado posterior y válvula de rápido enjuague.Las aplicaciones que se le dan a este tipo de equipos son distintas de acuerdo a los requerimientos del cliente; sin embargo, se pueden utilizar en sistemas de filtración residencial, filtración de piscinas y sistemas de filtración de pre tratamiento de RO (ósmosis inversa).",Importado,assets/img/catalogo/valvulas-automaticas-para-filtro.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,75
"Valvulas Automaticas Para Ablandador",valvulas-automaticas-para-ablandador,"La válvula automática para ablandador tiene distintas funciones entre las cuales incluye el servicio, lavado posterior, salmuera y enjuague lento, enjuague rápido y rellenado de salmuera. La ventaja radica en que puede modificar los parámetros como el volumen de la resina, dureza del agua original, factor de regeneración.",Importado,assets/img/catalogo/valvulas-automaticas-para-ablandador.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,74
"Toberas O Distribuidores",toberas-o-distribuidores,"Las toberas o distribuidores son utilizados para evitar que la resina, el carbón activado o cualquier otro medio granular que colocamos dentro del tanque se salga con el flujo. La bayoneta o tubo se enrosca o se pega al distribuidor para que llegue de la base del tanque hasta la válvula. Se utilizan toberas en la separación sólido/líquido o sólido/gas.",Importado,assets/img/catalogo/toberas-o-distribuidores.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,73
"Tiras Reactivas Para Cloro",tiras-reactivas-para-cloro,"Tiras para medir cloro en agua por colorimetría.Método: Tiras
Rango: 10 ppm, 50 ppm, 100 ppm, 200 ppm
Número de tiras: 200
Contenido: Tiras con reactivo impregnado",Importado,assets/img/catalogo/tiras-reactivas-para-cloro.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,72
"Tiras Reactivas Acido Peracetico",tiras-reactivas-acido-peracetico,"Tiras reactivas tratadas químicamente para la determinación Ácido Peracético en agua, una manera rápida de analizar el contenido de Ácido Peracético en agua indicando el nivel de desinfectante, sin tener que usar reactivos o kits de campo. Presentación en un tubo de plástico resistente al agua con escala de colores impresa.Áreas de aplicación: Sanitizantes, Alimentos, Bebidas.Rango de Medición y sensibilidad: 0, 10, 20, 50, 85, 160 ppm",Nacional,assets/img/catalogo/tiras-reactivas-acido-peracetico.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,71
"Test De Cloro Total Dpd",test-de-cloro-total-dpd,"Para la determinación del cloro total por el método DPD. Para usar con los kits de prueba visual de cloro. Tamaño de la muestra: 5 mL. Rango: hasta 3.5 mg/L Cl?. Pack de 100 almohadas en polvo.¡Libre de ácido bórico!",Importado,assets/img/catalogo/test-de-cloro-total-dpd.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,70
"Test De Cloro Libre Dpd",test-de-cloro-libre-dpd,"Para la determinación de cloro libre por el método DPD. Para usar con los kits de prueba visual de cloro.Tamaño de la muestra: 5 mL. Rango: hasta 3.5 mg/L Cl?. Pack de 100 almohadas en polvo. ¡Libre de ácido bórico!",Nacional,assets/img/catalogo/test-de-cloro-libre-dpd.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,69
